title,rec1,rec2,rec3,rec4,rec5,rec6,rec7,rec8,rec9,rec10
Prison Break,Dexter,Game Of Thrones,The Walking Dead,Breaking Bad,Suits,House,Lost,Homeland,Friends,Heroes
The Handmaid's Tale,Big Little Lies,Sharp Objects,Killing Eve,Mindhunter,The Crown,Stranger Things,Black Mirror,This Is Us,The Sinner,Westworld
Supergirl,Dc's Legends Of Tomorrow,Agents Of S.H.I.E.L.D.,Agent Carter,The Flash,Gotham,Lucifer,Izombie,Jessica Jones,Blindspot,Constantine
The Big Bang Theory,House,Two And A Half Men,Modern Family,Scrubs,How I Met Your Mother,Game Of Thrones,Dexter,Friends,Family Guy,Breaking Bad
The Boys,The Mandalorian,The Witcher,Watchmen,Love, Death And Robots,The Umbrella Academy,Cobra Kai,The Punisher,Altered Carbon,His Dark Materials,Tom Clancy's Jack Ryan
American Horror Story,Bates Motel,Orange Is The New Black,Hannibal,The Walking Dead,True Blood,Penny Dreadful,Supernatural,Hemlock Grove,Dexter,Orphan Black
Waco,Escape At Dannemora,Mr. Mercedes,Quarry,The Terror,The Night Of,Catch-22,Godless,The Looming Tower,The Deuce,Trust
The Vampire Diaries,Teen Wolf,The Secret Circle,Once Upon A Time,Supernatural,Revenge,The Originals,Beauty And The Beast,Pretty Little Liars,Gossip Girl,Grey's Anatomy
Fargo,Better Call Saul,Breaking Bad,Mr. Robot,House Of Cards,True Detective,The Night Of,Black Mirror,Peaky Blinders,Game Of Thrones,Westworld
Shameless,Orange Is The New Black,Dexter,Game Of Thrones,The Walking Dead,Breaking Bad,Modern Family,Sons Of Anarchy,Mr. Robot,Hannibal,American Horror Story
How I Met Your Mother,Modern Family,House,Two And A Half Men,The Big Bang Theory,New Girl,Scrubs,Game Of Thrones,Dexter,Friends,Sherlock
The Simpsons,South Park,Family Guy,Scrubs,Futurama,Malcolm In The Middle,American Dad!,House,Spongebob Squarepants,That '70s Show,Breaking Bad
The Witcher,The Boys,The Mandalorian,Love, Death And Robots,Altered Carbon,Chernobyl,The Umbrella Academy,The Punisher,His Dark Materials,Carnival Row,Dark
Agents of S.H.I.E.L.D.,Gotham,Agent Carter,Supergirl,The Flash,Constantine,Dc's Legends Of Tomorrow,Arrow,Jessica Jones,Almost Human,Izombie
Sons of Anarchy,The Walking Dead,Boardwalk Empire,Banshee,Dexter,Vikings,Breaking Bad,The Sopranos,Ray Donovan,Justified,Game Of Thrones
Medici,Versailles,The Last Kingdom,War & Peace,Victoria,Tut,Gunpowder,Knightfall,The White Queen,Outlander,Marco Polo
House,Dexter,The Big Bang Theory,How I Met Your Mother,Lie To Me,Game Of Thrones,Lost,The Mentalist,Scrubs,Sherlock,Modern Family
Suits,Homeland,The Blacklist,Modern Family,Game Of Thrones,House,The Big Bang Theory,White Collar,Person Of Interest,Sherlock,Friends
Seinfeld,The Office,It's Always Sunny In Philadelphia,Arrested Development,Curb Your Enthusiasm,That '70s Show,Frasier,Mad Men,Modern Family,South Park,Dexter
Arrow,Gotham,Agents Of S.H.I.E.L.D.,Supernatural,The 100,Lucifer,Person Of Interest,The Blacklist,Constantine,The Walking Dead,Limitless
True Detective,Better Call Saul,Breaking Bad,Fargo,Mr. Robot,Hannibal,The Night Of,Game Of Thrones,Dexter,The Sopranos,House Of Cards
Chernobyl,Westworld,Dark,Mindhunter,The Witcher,Love, Death And Robots,Narcos: Mexico,Taboo,Narcos,Peaky Blinders,Stranger Things
The Umbrella Academy,Chilling Adventures Of Sabrina,Sex Education,Titans,Russian Doll,Altered Carbon,The Witcher,The Boys,Love, Death And Robots,The Haunting Of Hill House,Good Omens
Dexter,Game Of Thrones,Lost,Breaking Bad,House,The Walking Dead,Fringe,Hannibal,House Of Cards,Homeland,Sons Of Anarchy
Mrs. America,Legit,Brand X with Russell Brand,The League,Hello Ladies,Unsupervised,Totally Biased With W. Kamau Bell,Wilfred,Eastbound & Down,Workaholics,The Life & Times Of Tim
